,0
anti retroviral,126
beta-lactamase inhibitor,125
neurological treatment,125
erk inhibitor,125
liquid crystal compound,124
hepatitis B treatment,122
organic electroluminescent material,122
liquid crystalline,121
mcl1 inhibitor,120
ido inhibitor,120
serotonin reuptake inhibitor,119
flavor,119
heart failure treatment,116
proliferative disease treatment,115
lipoxygenase inhibitor,115
anti asthmatic,115
Drug,114
shp2 inhibitor,114
lrrk2 inhibitor,113
improved driving voltage,113
anti hiv,113
irak4 inhibitor,113
organic optoelectronic device,113
tachykinin receptor antagonist,112
mdm2 inhibitor,112
spicy,110
fresh,110
metabolic disorder treatment,110
COPD treatment,109
anti pyretic,109
odorless,108
bace inhibitor,108
akt inhibitor,108
prostate cancer treatment,107
cox2 inhibitor,106
tyk2 inhibitor,105
cancer preventive,105
nutty,105
histone demethylase inhibitor,104
metalloprotease inhibitor,104
fxr agonist,102
anti allergic agent,102
cns disorder treatment,102
chemokine receptor antagonist,101
photopolymerization,101
light emission,101
cytokine inhibitor,101
light-emitting device,101
gpr119 agonist,101
liquid crystal display device,100
pim kinase inhibitor,100
dyslipidemia treatment,100
osteoporosis treatment,99
liquid crystal display,99
ccr5 antagonist,99
parkinson's treatment,98
integrin antagonist,98
anti atherosclerotic,98
Vomiting,98
anxiety treatment,98
jak3 inhibitor,97
nampt inhibitor,97
drug metabolite,97
metabolic disease treatment,96
ra inhibitor,96
anti tumor activity,96
11βhsd1 inhibitor,95
lightening,94
anti histaminic,94
psychiatric treatment,94
mek inhibitor,93
rock inhibitor,92
epilepsy treatment,92
improved luminous efficiency,92
citrus,91
earthy,91
sulfurous,91
kras g12c inhibitor,91
Prostate cancer,90
Testicular cancer,90
rorγ modulator,90
potassium channel inhibitor,90
Nausea,89
lxr modulator,89
ns3 protease inhibitor,89
ccr2 antagonist,89
ferroelectric,88
muscarinic antagonist,88
pd1/pdl1 inhibitor,88
rho kinase inhibitor,88
anti oselective,88
hyperglycemia treatment,87
photoelectric conversion,87
sirtuin modulator,87
hypercholesterolemia treatment,87
balsam,86
s1p1 agonist,86
low voltage,85
neuropathic pain treatment,85
tnf inhibitor,85
hormone,85
matrix metalloproteinase inhibitor,84
tachykinin antagonist,84
fgfr inhibitor,84
bace1 inhibitor,83
photochromic,83
cell proliferation inhibitor,83
acat inhibitor,82
ppar modulator,82
roasted,82
cmet inhibitor,82
cgrp receptor antagonist,82
gastric acid inhibitor,81
lsd1 inhibitor,81
anti microbial agent,81
fragrance,80
phosphorescent emitter,80
oily,80
rsv inhibitor,79
jnk inhibitor,79
factor viia inhibitor,79
raf kinase inhibitor,79
leukotriene antagonist,79
gsk3 inhibitor,78
rose,78
apple,78
anti viral activity,77
integrin inhibitor,77
meaty,77
ace inhibitor,76
sting agonist,76
alk inhibitor,76
treatment of diabetes,75
glucagon antagonist,75
pde10 inhibitor,75
paf antagonist,74
bet inhibitor,74
anti biotic resistance,74
hepatitis b treatment,74
cb2 agonist,73
type ii diabetes treatment,72
vasopressin antagonist,72
plasma kallikrein inhibitor,72
anti spasmodic,72
anti platelet,72
androgen receptor modulator,72
autotaxin inhibitor,72
aurora kinase inhibitor,71
anti fouling,71
electron-transporting,71
mglur5 modulator,71
arrhythmia treatment,71
Air pollutant,71
crth2 antagonist,71
Depression,70
protein kinase c inhibitor,70
breast cancer treatment,70
metalloproteinase inhibitor,70
p38 kinase inhibitor,69
sglt2 inhibitor,69
anti cancer activity,69
cell adhesion inhibitor,69
pineapple,69
pdk1 inhibitor,69
anti epileptic,68
lpxc inhibitor,68
p38 map kinase inhibitor,68
proliferative disorder treatment,68
potassium channel modulator,67
magl inhibitor,67
cyclindependent kinase inhibitor,67
EC 1.1.1.21 (aldehyde reductase) inhibitor,67
glucagon receptor antagonist,67
p2x3 antagonist,67
tropical,67
fluorescent dye,67
wee1 inhibitor,67
anti septic,66
flt3 inhibitor,66
aldose reductase inhibitor,66
mch antagonist,66
estrogen receptor modulator,66
sedative,66
allergic disease treatment,66
tgr5 agonist,66
tace inhibitor,66
delayed fluorescence,66
anti hypertensive agent,65
monoamine reuptake inhibitor,65
vegetable,64
5lipoxygenase inhibitor,64
human metabolite,64
anemia treatment,64
hmgcoa reductase inhibitor,64
tumour treatment,64
apj agonist,64
endothelin antagonist,64
photoinitiators,64
rna polymerase inhibitor,63
bradykinin antagonist,63
anti tumoral,63
cannabinoid receptor modulator,63
dgat1 inhibitor,63
Coma,62
11beta-hsd1 inhibitor,62
jak2 inhibitor,62
cgrp antagonist,62
hcv polymerase inhibitor,61
hdac6 inhibitor,61
creamy,61
addiction treatment,61
anti tussive,61
adenosine receptor antagonist,61
nmda receptor modulator,60
anti mutagenic,60
ret kinase inhibitor,60
fruit,60
ccr3 antagonist,59
proteasome inhibitor,59
acc inhibitor,59
metabolite,59
cb1 antagonist,59
chymase inhibitor,59
serotonin antagonist,59
anti allergy,59
anti emetic,59
anti apoptotic,59
anti histamine,58
anti protozoal,58
p2x7 modulator,58
cathepsin inhibitor,58
psoriasis treatment,58
gamma secretase modulator,58
nonaqueous electrolyte,57
powdery,57
hepatoprotective,57
ion channel inhibitor,57
caramel,57
bcl2 inhibitor,57
musty,56
leukotriene inhibitor,56
oncological treatment,56
agrochemical,56
ion channel modulator,56
analgesic,55
anti body drug conjugate,55
ezh2 inhibitor,55
p2x7 antagonist,55
corrosion inhibitor,55
nmda antagonist,55
infectious disease treatment,55
hiv replication inhibitor,55
anti mitotic,55
coagulation inhibitor,55
spice,55
allergen,54
high refractive index,54
mdm2 antagonist,54
reverse transcriptase inhibitor,54
pde2 inhibitor,54
orexin receptor modulator,53
EC 3.1.1.7 (acetylcholinesterase) inhibitor,53
norepinephrine reuptake inhibitor,53
cot modulator,53
glyt1 inhibitor,52
complement factor d inhibitor,52
onion,52
protein tyrosine phosphatase inhibitor,52
Headache,52
anti coagulant agent,52
insectifuge,51
pde inhibitor,51
raf inhibitor,51
treatment of tyk2mediated disorder,51
gpr119 modulator,51
minty,51
prostaglandin inhibitor,50
hcv ns5b inhibitor,50
hyperproliferative disorder treatment,50
cathepsin s inhibitor,50
cytotoxic,50
cyclooxygenase2 inhibitor,50
vap1 inhibitor,50
phenolic,50
chemokine inhibitor,50
herbicide,50
fxa inhibitor,50
adenosine antagonist,50
cgrpantagonists,49
chk1 inhibitor,49
chemiluminescent,49
muscarinic agonist,49
caspase inhibitor,49
Cirrhosis,49
tubulin inhibitor,48
beta2 agonist,48
hyperproliferative disease treatment,48
5ht2c receptor agonist,48
mild,48
factor ixa inhibitor,48
nitric oxide synthase inhibitor,48
cell cycle inhibitor,48
honey,47
viral replication inhibitor,47
pungent,47
insecticide,47
photoacid generator,47
lpa antagonist,47
anti neoplastic agent,47
irritant,47
mmp13 inhibitor,47
crf antagonist,47
endothelial lipase inhibitor,46
berry,45
garlic,45
fgfr4 inhibitor,45
Confusion,45
pear,44
histamine receptor antagonist,44
tgfbeta inhibitor,44
glycosidase inhibitor,44
dopamine agonist,44
Personal care products,43
fasn inhibitor,43
vanilla,43
calcium channel blocker,42
serotonin agonist,42
coconut,42
Pain,42
dgat inhibitor,42
oxytocin antagonist,42
pak inhibitor,41
coffee,41
banana,41
Liver damage,41
par4 inhibitor,41
lppla2 inhibitor,40
diuretic,40
ethereal,40
hypotensive,40
Dizziness,40
glp1 receptor modulator,40
ccr1 antagonist,40
nematicide,40
calcium receptor antagonist,39
Schizophrenia,39
Jaundice,39
mps1 inhibitor,39
gpr40 modulator,39
Hypotension,38
abc transporter modulator,38
hdm2 inhibitor,38
p38 inhibitor,38
mch receptor antagonist,38
peach,38
orexin type 2 receptor agonist,38
rorc modulator,38
prolyl hydroxylase inhibitor,38
pgd2 receptor antagonist,38
gcn2 inhibitor,38
burnt,37
sulfury,37
mk2 inhibitor,37
phytoalexin,37
Nerve damage,37
dry,37
Fatigue,37
irak inhibitor,37
herb,36
neurotoxin,36
no inhibitor,36
anti radicular,35
p2y12 antagonist,35
syndrome X treatment,35
c5a receptor modulator,35
Chronic hepatitis,35
pde1 inhibitor,35
anti leukemic,35
hypocholesterolemic,35
Chronic diarrhea,35
acaricide,35
axl inhibitor,35
jasmin,34
Multiple sclerosis,34
camphor,34
histamine h3 receptor modulator,33
neprilysin inhibitor,33
glycogen phosphorylase inhibitor,33
pcsk9 inhibitor,33
complement pathway modulator,33
ddr1 inhibitor,32
gnrh receptor antagonist,32
Bleeding,32
Uremia,32
wood,32
apricot,31
metallic,31
almond,31
mat2a inhibitor,31
serotonin receptor modulator,31
anti aggregating,31
mushroom,30
Diarrhea,30
Renal failure,30
plant metabolite,30
warm,30
Hypertension,30
choleretic,30
chocolate,29
npy y5 antagonist,29
hpk1 antagonist,29
flower,29
central nervous system depressant,29
Weight loss,29
trka kinase inhibitor,29
EC 3.1.1.8 (cholinesterase) inhibitor,29
cooked,29
melon,29
cocoa,28
clean,28
Ovarian cancer,28
Paralysis,28
anti edemic,28
tobacco,28
Hazardous air pollutant,28
central nervous system stimulant,28
orange,27
immunological adjuvant,27
fat,27
vasodilator agent,27
cherry,27
anti staphylococcic,27
cheese,27
butter,27
myorelaxant,27
wine,26
cinnamon,26
fishy,26
anti proliferant,26
hypoglycemic agent,26
balsamic,25
anti hepatotoxic,25
Anxiety,25
candidicide,25
anti herpetic,25
strawberry,25
Tremor,25
anesthetic,25
lemon,24
Laboratory chemical,24
carcinogenic agent,24
aldehydic,24
anti HIV,24
Collapse,24
plum,23
Kidney disease,23
trpm8 antagonist,23
leaf,23
EC 3.4.15.1 (peptidyl-dipeptidase A) inhibitor,23
Muscle cramp ,23
smoky,23
Muscle weakness,23
angiotensin converting enzyme inhibitor,23
mint,23
ether,22
Blurred vision,22
hormone antagonist,22
Hypoglycemia,22
anti arthritic,22
bland,22
Agitation,22
animal,21
soapy,21
cabbage,21
pine,21
hazelnut,20
cyclooxygenase 2 inhibitor,20
medicinal,20
insulin signaling antagonist,20
nut,20
dairy,19
estrogenic,19
cucumber,19
anti tumor promoter,19
grassy,19
expectorant,19
grape,19
buttery,19
anti Alzheimeran,19
Chronic kidney disease,19
Psychosis,19
violet,19
leafy,19
EC 1.14.99.1 (prostaglandin-endoperoxide synthase) inhibitor,19
micronutrient,18
rum,18
cardiotonic,18
roast,18
laxative,18
opioid analgesic,18
apoptotic,18
sharp,18
anti peroxidant,18
EC 1.17.3.2 (xanthine oxidase) inhibitor,18
cyclooxygenase inhibitor,18
topoisomerase-II inhibitor,18
natural,18
Drowsiness,18
dopamine uptake inhibitor,18
quinone-reductase inducer,18
geranium,17
Skin irritation,17
carcinogenic,17
mutagenic,17
Abdominal pain,17
hepatotoxic agent,17
pepper,17
teratogenic agent,17
clove,17
Edema,17
persistent organic pollutant,16
Carcinogen,16
alliaceous,16
meat,16
oil,16
potato,16
chemical,16
anti acne,16
Metabotoxin,16
lavender,16
H1-receptor antagonist,16
cardioprotective,16
cyclooxygenase 1 inhibitor,15
anti melanomic,15
anti angiogenic agent,15
weedy,15
larvicide,15
raspberry,15
earth,15
anise,15
sulfur,15
hyacinth,15
toxic,14
grapefruit,14
vasoconstrictor agent,14
tea,14
solvent,14
mutagen,14
carbamate insecticide,14
adrenergic agent,14
tomato,14
anti plaque,14
Periodontal Probing Depth,14
lily,14
anxiolytic drug,14
neuroprotective agent,14
Anemia,14
nutraceutical,14
abortifacient,14
anti cariogenic,14
orris,14
hawthorn,13
plastic,13
anti psychotic agent,13
ripe,13
sour,13
Attachment loss,13
milky,13
Water pollutant,13
cosmetic,13
coumarin,13
EC 5.99.1.2 (DNA topoisomerase) inhibitor,13
peanut,13
anti dote,13
maple,13
juvabional,13
lime,13
anti fungal agent,13
jam,13
strong,12
Insectiphile,12
mycotoxin,12
cognac,12
carminative,12
Lethargy,12
anti cholinesterase,12
brown,12
trichomonicide,12
local anaesthetic,12
cholagogue,12
emetic,12
tonka,12
blackcurrant,12
anti carcinomic,12
corn,12
anti nociceptive,12
molluscicide,12
Slurred speech,12
non-narcotic analgesic,11
Chest pain,11
anti cataract,11
hypolipidemic,11
beta-adrenergic antagonist,11
allelopathic,11
anxiolytic,11
anti dermatitic,11
human xenobiotic metabolite,11
Shock,11
lipolytic,11
bread,11
Trace element,11
allelochemic,11
popcorn,11
leather,11
dermatitigenic,11
celery,11
sweetening agent,11
protisticide,11
must,11
GABA-gated chloride channel antagonist,11
bergamot,11
prostaglandin antagonist,11
jasmine,11
immunosuppressive agent,10
Vertigo,10
non-polar solvent,10
anti estrogenic,10
serotonin uptake inhibitor,10
anti parkinson drug,10
musk,10
anti bacterial drug,10
terpene,10
wax,10
anti plasmodial,10
anti complementary,10
anti flu,10
anti streptococcic,10
convulsant,10
anti aflatoxin,10
savory,10
sympathomimetic agent,10
alcohol,10
amber,10
horseradish,10
anti alcoholic,10
alcoholic,10
neroli,10
osmolyte,9
fennel,9
anti leukotriene,9
caramellic,9
alkane,9
Saccharomyces cerevisiae metabolite,9
herbaceous,9
monoamine-oxidase inhibitor,9
EC 1.14.18.1 (tyrosinase) inhibitor,9
licorice,9
raw,9
nitric-oxide inhibitor,9
toasted,9
refrigerant,9
anti fatigue,9
mu-opioid receptor agonist,9
mustard,9
Escherichia coli metabolite,9
sugar,9
cortex,9
Missing teeth,9
anti helmintic,9
anti rheumatic,9
turpentine,9
avicide,9
acidic,9
hypertensive,9
wine_like,9
anti tubercular,9
Incoordination,8
powerful,8
inhibitor,8
cyanogenic,8
anti salmonella,8
fermented,8
pyrethroid ester insecticide,8
red rose,8
lilac,8
lactonic,8
cAMP-phosphodiesterase inhibitor,8
cytochrome-P450 inhibitor,8
inhalation anaesthetic,8
anti carcinogenic,8
faint,8
GABA modulator,8
anti stress,8
brandy,8
radish,8
egg,8
Erythema,8
EC 3.4.21.26 (prolyl oligopeptidase) inhibitor,8
neurotransmitter,8
chip,8
anti anemic,8
adrenergic uptake inhibitor,8
EC 1.14.14.14 (aromatase) inhibitor,8
Cough,8
anti leishmanic,8
narcissus,8
EC 2.7.11.13 (protein kinase C) inhibitor,8
anti ischemic,8
gardenia,8
serotonergic antagonist,8
ubiquiot,8
fungistat,8
anti Parkinsonian,8
fundamental metabolite,8
vulnerary,8
anti fertility,8
motor depressant,8
cooling,8
anti osteoporotic,8
anisic,8
hay,7
camphoraceous,7
vascular endothelial growth factor receptor antagonist,7
cheesy,7
histamine antagonist,7
anti alopecic,7
cholinergic antagonist,7
walnut,7
radiopharmaceutical,7
anti Epstein-Barr virus,7
metal,7
ammoniacal,7
sunscreen,7
candy,7
anti hemolytic,7
prooxidant,7
musky,7
anti anaphylactic,7
Hepatitis,7
medical,7
hemolytic,7
anti thyroid,7
paralytic,7
bready,7
EC 2.1.1.6 (catechol O-methyltransferase) inhibitor,7
second messenger,7
beef,7
Pulmonary edema,7
anti nitrosaminic,7
hypothermic,7
P450 inhibitor,7
ornithine-decarboxylase inhibitor,7
cathartic,7
gasoline,7
phagocytotic,7
termitifuge,7
winey,7
Tachycardia,7
bone density conservation agent,7
non-steroidal anti inflammatory drug,7
Lung cancer,7
soap,7
anti arrhythmia drug,7
bacterial metabolite,7
serotonergic agonist,6
Fever,6
EC 1.3.1.22 [3-oxo-5alpha-steroid 4-dehydrogenase (NADP(+))] inhibitor,6
secretogogue,6
cotton,6
anti thromboxane,6
deep,6
sweaty,6
sweat,6
Epilepsy,6
Apnea,6
Essential vitamin,6
Disorientation,6
Eye irritation,6
chicken,6
aromatic,6
smoke,6
Chronic renal failure,6
bacon,6
Gram(+)icide,6
phytohormonal,6
Acidogen,6
buchu,6
piscicide,6
anti bronchitic,6
wintergreen,6
anti lithic,6
alpha-adrenergic antagonist,6
anti lipoperoxidant,6
anti amyloid-beta,6
anti hypercholesterolemic,6
essential amino acid,6
whiskey,6
malt,6
Aciduria,6
anti -allergic,6
NF-kappa-B inhibitor,6
peppermint,6
emmenagogue,6
anti lymphomic,6
anti dyskinesia agent,6
anti cephalagic,6
anti dementia,6
anti infective agent,6
anti coronary,6
blueberry,6
diaphoretic,6
purgative,6
butterscotch,6
anti neuropathic,6
Hemodialysis,6
Pneumonia,6
carnation,6
anti eczemic,6
anti elastase,6
hemostat,6
myostimulant,5
stimulant,5
spearmint,5
blossom,5
spasmogenic,5
hallucinogenic,5
caraway,5
grapefruit peel,5
nephrotoxic,5
anti insomniac,5
adrenergic antagonist,5
bronchodilator agent,5
soft,5
acid,5
acetylcholinesterase inhibitor,5
cinnamyl,5
bacteristat,5
anti implantation,5
hypnotic,5
juicy,5
anti dysmenorrheic,5
larvistat,5
leprostatic drug,5
anti capillary-fragility,5
anti escherichic,5
anti atherogenic,5
termiticide,5
Cachexia,5
animal metabolite,5
anti aging,5
tallow,5
baked,5
anti migraine,5
medicine,5
DNA-protective,5
5-lipoxygenase inhibitor,5
mimosa,5
anti metastatic,5
gastroprotective,5
genotoxin,5
Liver disease,5
peppery,5
rubber,5
vermifuge,5
NMDA receptor antagonist,5
phenol,5
anti premenstrual syndrome,5
Meningitis,5
Marine biotoxin,5
essential,5
cardiovascular,5
cumin,5
anti prostatitic,5
Leukemia,5
nut skin,5
anti pruritic drug,5
plasmodicide,5
embryotoxic,5
polar aprotic solvent,5
Hypothyroidism,5
anti sarcomic,5
dopaminergic agent,5
Hallucinations,5
HIV-reverse-transcriptase inhibitor,5
radical scavenger,5
deodorant,5
depressant,5
Palpitations,5
EC 3.6.3.8 (Ca(2+)-transporting ATPase) inhibitor,5
Sedation,5
vitamin,5
gastrostimulant,5
serotoninergic,5
nutmeg,5
anti sickling,5
broncho elaxant,5
galbanum,5
orchid,5
anti nematodal drug,5
sequestrant,5
TNF-alpha inhibitor,5
fungal metabolite,5
anti neuralgic,5
toxin,5
Prodrug,5
sandalwood,5
Pro-oxidant,5
flatulent,5
first generation antipsychotic,5
schistosomicide,5
utero trophic,5
uricosuric,5
parasiticide,5
utero tonic,5
cardiodepressant,5
watermelon,4
tutti frutti,4
tumor promoter,4
castoreum,4
cedar,4
vasopressor,4
valerian,4
jammy,4
central nervous system active,4
mycobactericide,4
fish,4
oxidising agent,4
oviposition stimulant,4
food propellant,4
fusel,4
gassy,4
glutathionigenic,4
goitrogenic,4
greasy,4
nematistat,4
harsh,4
hawthorne,4
naphthyl,4
heavy,4
central nervous system drug,4
heliotrope,4
multidrug resistance inhibitor,4
hepatoprotective agent,4
hepatotonic,4
mitochondrial NADH:ubiquinone reductase inhibitor,4
metal chelator,4
mandarin,4
hyaluronidase inhibitor,4
hyperglycemic agent,4
litholytic,4
iNOS inhibitor,4
lamb,4
labdanum,4
fibrinolytic,4
pediculicide,4
peripheral nervous system drug,4
petal,4
thermogenic,4
chelator,4
tachycardic,4
coagulant,4
collagen-sparing,4
collagenic,4
seedy,4
scabicide,4
cotton candy,4
cottoncandy,4
counterirritant,4
cranberry,4
rubbery,4
root,4
resin,4
cytochrome-p450 inducer,4
detoxicant,4
pyrethroid ester acaricide,4
differentiator,4
protein synthesis inhibitor,4
propecic,4
plasticiser,4
encephalopathic,4
epileptigenic,4
estery,4
phenothiazine antipsychotic drug,4
petitgrain,4
(+)-inotropic,4
ylang,4
anti Raynaud's,4
Hepatic encephalopathy,4
anti periodontal,4
anti papillomic,4
apple skin,4
beefy,4
Very long chain acyl-coa dehydrogenase deficiency,4
anti nephritic,4
anti mycotic,4
Tuberculous meningitis,4
anti menorrhagic,4
Glutaric aciduria type 2,4
anti menopausal,4
anti maculitic,4
Thyroid cancer,4
anti climacteric,4
anti lipemic drug,4
Hyperthyroidism,4
Supragingival Plaque,4
aphidifuge,4
anti integrase,4
anti inflammatory drug,4
anti infertility,4
anti hyperthyroid,4
anti hepatotic,4
anti hemorrhagic,4
Malaria,4
Medium chain acyl-coa dehydrogenase deficiency,4
anti periodontic,4
anti gingivitic,4
anti polio,4
anti cholinergic,4
anti TNF,4
anti syndrome-X,4
anti sunburn,4
anti stroke,4
Anorexia nervosa,4
androgenic,4
Breathing difficulties,4
beany,4
astringent,4
anti cellulitic,4
anti cheilitic,4
Cardiac arrest,4
anti psoriac,4
ambergris,4
anti protozoal drug,4
anti rhinoviral,4
anti gibberellin,3
anti genotoxic,3
hyperuricemic,3
hypotriglyceridemic,3
anti dandruff,3
anti eicosanoid,3
anti colitic,3
anti clastogen,3
marine metabolite,3
keratolytic,3
anti cirrhotic,3
anti allergenic,3
iodothyronine-deiodinase inhibitor,3
mango,3
anti dyskinetic,3
insulinase inhibitor,3
malty,3
anti anorectic,3
insulinogenic,3
insulinotonic,3
anti diarrheic,3
laundered cloths,3
intravenous anaesthetic,3
lipotropic,3
anti cervicaldysplasic,3
anti decubitic,3
cAMP inhibitor,3
anti glossitic,3
explosive,3
ester,3
enterorelaxant,3
anti retinopathic,3
anti rheumatic drug,3
dusty,3
anti schizophrenic,3
anti secretory,3
dirty,3
dill,3
digestive,3
anti shock,3
diabetic-macular-edema inhibitor,3
dermatologic drug,3
anti spasmodic drug,3
deiodinase inhibitor,3
cytostatic,3
cyclooxygenase activator,3
eucalyptus,3
fenugreek,3
hypercholesterolemic,3
anti peptic,3
anti gonadotropic,3
anti gout,3
honeysuckle,3
anti NF-kappa-B,3
anti leukodermic,3
guaiacwood,3
guaiacol,3
anti lipolytic,3
anti lymphocytic,3
anti metabolite,3
anti methicillin-resistant Staphylococcus aureus,3
anti monosodium-glutamate,3
fuel additive,3
anti neuritic,3
flour treatment agent,3
anti otitic,3
fir needle,3
anti ketotic,3
anaesthesia adjuvant,3
anti Lyme,3
roasted nuts,3
EC 3.1.3.16 (phosphoprotein phosphatase) inhibitor,3
secretolytic,3
EC 3.5.1.4 (amidase) inhibitor,3
EC 3.6.3.9 (Na(+)/K(+)-transporting ATPase) inhibitor,3
rummy,3
rosemary,3
Emetic agent,3
rooty,3
rodenticide,3
roastedmeat,3
roasted nut,3
anorexic,3
roasted meat,3
Euphoria,3
respirastimulant,3
GABA antagonist,3
rancid,3
pyrogenic,3
psychotropic drug,3
psychoactive,3
proteolytic,3
Hepatocellular carcinoma,3
smoked,3
EC 1.6.5.2 [NAD(P)H dehydrogenase (quinone)] inhibitor,3
EC 1.2.1.3 [aldehyde dehydrogenase (NAD(+))] inhibitor,3
EC 1.14.13.39 (nitric oxide synthase) inhibitor,3
xenobiotic,3
Adrenoleukodystrophy,3
vetiver,3
very mild,3
vermicide,3
vasorelaxant,3
varroacide,3
Aromatic l-amino acid decarboxylase deficiency,3
unripe banana,3
ulcerogenic,3
tremorigenic,3
transdermal,3
tracheorelaxant,3
Chelating agent,3
Constipation,3
taco,3
sympatholytic agent,3
DNA-binder,3
Dry mouth,3
storax,3
sprout inhibitor,3
prostaglandin-synthetase inhibitor,3
prostaglandigenic,3
ICAM-1 inhibitor,3
occuloirritant,3
acacia,3
acetic,3
acidulant,3
acrylate,3
acrylic,3
adjuvant,3
natriuretic,3
alpha-adrenergic agonist,3
alpha-reductase inhibitor,3
myocontractant,3
myocardiotonic,3
mydriatic agent,3
ammonia,3
anabolic agent,3
muscle relaxant,3
cut grass,3
mucogenic,3
