drugbank_id,ATC,Name,Description,Indication,SMILES,blocks
DB00257,A01AB18,clotrimazole,"This drug is a broad spectrum antimycotic or antifungal agent. Clotrimazole's antimycotic properties were discovered in the late 1960s [A174094]. Clotrimazole falls under the _imidazole_ category of _azole_ antifungals, possessing broad-spectrum antimycotic activity [A174094].  It is available in various preparations, including creams, pessaries, and troche formulations (slowly dissolving tablets).  As well as its antifungal activity, clotrimazole has become a drug of interest in treating several other diseases such as sickle cell disease, malaria and some cancers [A174094].  The minimal side effect profile of this drug and its uncomplicated metabolic profile have led it to gain widespread acceptance for the treatment of mycotic outbreaks such as vaginal yeast infections as well as athlete's foot [A174097].","**Topical preparations**

Clotrimazole topical cream is indicated for the topical treatment of the following dermal infections [F3088], [F3121]:

Tinea pedis, tinea cruris, and tinea corporis due to _Trichophyton rubrum_, _Trichophyton mentagrophytes_, _Epidermophyton floccosum_

Candidiasis due to _Candida albicans_

Tinea versicolor due to _Malassezia furfur_

Diaper rash infected by _Candida albicans_


In some preparations, clotrimazole may be combined with betamethasone dipropionate, a corticosteroid [F3121]. 

**Oral preparations**

The oral troche preparation is indicated for the local treatment of oropharyngeal candidiasis [FDA label].  It is also indicated as a prophylactic drug to reduce the incidence of oropharyngeal candidiasis in patients immunocompromised by conditions such as chemotherapy, radiotherapy, or steroid therapy utilized in the treatment of leukemia, solid tumors, or renal transplantation [FDA label]. Troche preparations are not indicated for the treatment of any systemic mycoses [FDA label].",ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,[]
DB13235,A01AB19,sodium perborate,"Perboric acid is mainly found in its salt form of sodium perborate and it can be found as a monohydrate or tetrahydrate.[A33037] It is one of the peroxy acid salts with very wide functionalities in industrial settings.[F66] Perboric acid in the form of sodium perborate is approved by Health Canada since 2004 to be used as a disinfectant of medical instruments.[L1113] By the FDA, sodium perborate is approved as an ointment for the protection of poison ivy dermatitis.[L2764]","In the industry, sodium perborate is used as a disinfectant. It is also part of the ingredients for detergents, bleach powders, and personal care formulations. In cosmetic products, perboric acid and mainly its salt are used as an oxidizing agent for dyeing or permanent waving.[F66] 

In dentistry, sodium perborate monohydrate is used as an aid for the removal of phlegm, mucus or other secretions associated with an occasional sore in the mouth, for cleansing minor wounds, for temporary cleanse of canker sore or for the removal of foreign materials in minor wounds.[L2770]

In ophthalmic preparations, sodium perborate is used as a preservative for products used for dry eye. This use is approved as this compound rapidly degrades to harmless byproducts.[T203]",OOB=O,[]
DB09093,A01AB21,chlortetracycline,"Chlortetracycline is a _tetracycline_ antibiotic, and historically the first member of this class to be identified. It was discovered in 1945 by the scientist, Benjamin Minge Duggar, working at Lederle Laboratories under the supervision of Yellapragada Subbarow. He discovered that this antibiotic was the product of an actinomycete strain he cultured and obtained from a soil sample from a field in Missouri. The organism was named _Streptomyces aureofaciens_ due to its gold-hued color.",Used in the manufacuring of medicated animal feeds [FDA Label].,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC(Cl)=C1[C@@]3(C)O,[]
DB00254,A01AB22,doxycycline,"Doxycycline is a broad-spectrum antibiotic synthetically derived from oxytetracycline [FDA label].  This drug is a second-generation tetracycline, exhibiting lesser toxicity than first-generation tetracyclines [A174034]. Doxycycline may be used to treat a wide range of bacterial infections, depending on the results of antibiotic susceptibility testing.","Doxycycline is indicated for the treatment of various infections by gram-positive and gram-negative bacteria, aerobes and anaerobes, as well other types of bacteria. A complete list of organisms is available in the FDA label and in the ""indications"" section of this drug entry [FDA label].

The following are some of the major infections that may be treated with doxycycline [FDA label]:

Rocky mountain spotted fever, typhus fever and the typhus group, Q fever, rickettsialpox, and tick fevers caused by Rickettsiae

Respiratory tract infections caused by Mycoplasma pneumoniae

Lymphogranuloma venereum caused by Chlamydia trachomatis

Psittacosis (ornithosis) caused by Chlamydia psittaci

Trachoma caused by Chlamydia trachomatis, although the infectious agent is not always eliminated as judged by immunofluorescence

Inclusion conjunctivitis caused by Chlamydia trachomatis

Uncomplicated urethral, endocervical or rectal infections in adults caused by Chlamydia trachomatis

Nongonococcal urethritis caused by Ureaplasma urealyticum

Relapsing fever due to Borrelia recurrentis

**A note regarding anti-microbial resistance**

It is important to note that doxycycline is not the drug of choice in the treatment of any type of staphylococcal infection.
Up to 44 percent of strains of Streptococcus pyogenes and 74 percent of Streptococcus faecalis have been found to be resistant to tetracyclines. Therefore, tetracyclines such as doxycycline should not be used to treat streptococcal infections unless the microorganism has been demonstrated to be susceptible [FDA label].",[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,[]
DB01017,A01AB23,minocycline,"Minocycline was first described in the literacture in 1966.[A190681] It is a second generation tetracycline antibiotic that is active against gram-negative and gram-positive bacteria.[A190723] Like other semisynthetic tetracyclines, minocycline has modifications to carbons 7-9 on the D ring to generate higher efficacy than previous tetracyclines.[A190723]

Minocycline was granted FDA approval on 30 June 1971.[L11695]","Oral and topical minocycline are indicated to treat inflammatory lesions of acne vulgaris.[L11701,L11704,L11719] Subgingival microspheres are indicated as an adjunct treatment in the reduction of pocket depth in adults with periodontitis.[L11716] Oral and intravenous formulations are indicated to treat infections of susceptible microorganisms.[L11707,L11710,L11713] These include rickettsiae, _Mycoplasma pneumoniae_, _Chlamydia trachomatis_, _Chlamydophila psittaci_, _Chlamydia trachomatis_, _Ureaplasma urealyticum_, _Borrelia recurrentis_, _Haemophilus ducreyi_, _Yersinia pestis_, _Francisella tularensis_, _Vibrio cholerae_, _Campylobacter fetus_, _Brucella_ species, _Bartonella bacilliformis_, _Klebsiella granulomatis_, _Escherichia coli_, _Enterobacter aerogenes_, _Shigella_ species, _Acinetobacter_ species, _Haemophilus influenzae_, and _Kelbsiella_ species.[L11710]",[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,[]
DB00620,A01AC01,triamcinolone,"Triamcinolone is a corticosteroid used to treat various inflammatory conditions in the body from allergic rhinitis to acute exacerbations of multiple sclerosis.[L8255] Triamcinolone can be used as a one time adjunct treatment of osteoarthritic knee pain,[L8264] or first line as a topical treatment of corticosteroid responsive dermatoses.[L8249] Triamcinolone is more commonly seen in the forms triamcinolone hexacetonide, triamcinolone acetonide, and triamcinolone diacetate.[L8246,L8249,L8252,L8255,L8258,L8261,L8264]

Triamcinolone was granted FDA approval on 3 December 1957.[L8243]","Triamcinolone hexacetonide injections are indicated for intralesional administration in alopecia areata, discoid lupus erythematosus, keloids, and necrobiosis lipoidica diabeticorum.[L8246] This formulation can also be used for localized hypertrophic infiltrated inflammatory lesions of granuloma annulare, lichen planus, lichen simplex chronicus, and psoriatic plaques.[L8246]

Triamcinolone acetonide spray and cream are indicated for the treatment of inflammatory and pruritic manifestations of corticosteroid responsive dermatoses.[L8249,L8258] A triamcinolone acetonide 10mg/mL or 40mg/mL injection is indicated intra-articularly for acute gouty arthritis, acute and subacute bursitis, acute nonspecific tenosynovitis, epicondylitis, rheumatoid arthritis, and synovitis of osteoarthritis.[L8252,L8255] The same 10mg/mL injection is indicated by the intralesional route for the treatment of alopecia areata, discoid lupus erythematosus, keloids, necrobiosis lipoidica diabeticorum, and tumors of an aponeurosis or tendon.[L8252] This formulation can also be used for localized hypertrophic infiltrated inflammatory lesions of granuloma annulare, lichen planus, lichen simplex chronicus, and psoriatic plaques.[L8252] The 40mg/mL injection is indicated intramuscularly for controlling severe allergic conditions such as asthma, atopic dermatitis, contact dermatitis, drug hypersensitivity, perennial or seasonal allergic rhinitis, serum sickness, and transfusion reactions; treatment of bullous dermatitis herpetiformis, exfoliative erythroderma, mycosis fungoides, pemphigus, Stevens-Johnson syndrome, congenital adrenal hyperplasia, hypercalcemia in
cancer, nonsuppurative thyroiditis, autoimmune hemolytic anemia, Diamond-Blackfan anemia, pure red cell aplasia, secondary thrombocytopenia, trichinosis, tuberculous meningitis, acute exacerbations of multiple sclerosis or cerebral edema, sympathetic ophthalmia, temporal arteritis, uveitis, ocular inflammation, berylliosis, idiopathic eosinophilic pneumonias, symptomatic sarcoidosis, dermatomyositis, polymyositis, and systemic lupus erythematosus; adjunct treatment of adrenocortical insufficiency, regional enteritis, ulcerative colitis, fulminating or disseminated pulmonary tuberculosis, acute gouty arthritis, acute rheumatic carditis, ankylosing spondylitis, psoriatic arthritis, rheumatoid arthritis; palliative management of leukemia and lymphoma; induction of diuresis or remission of proteinuria in idiopathic nephrotic syndrome or lupus erythematosus.[L8255] A triamcinolone intravitreal injection is indicated for the treatment of sympathetic ophthalmia, temporal arteritis, uveitis, and ocular inflammatory conditions.[L8261] The intravitreal injection is also used for visualization during vitrectomy.[L8261] An extended release suspension is indicated intra-articularly for management of pain in osteoarthritis of the knee.[L8264]",[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,[]
DB01234,A01AC02,dexamethasone,"Dexamethasone, or MK-125, is a corticosteroid fluorinated at position 9 used to treat endocrine, rheumatic, collagen, dermatologic, allergic, ophthalmic, gastrointestinal, respiratory, hematologic, neoplastic, edematous, and other conditions.[L10701] Developed in 1957, it is structurally similar to other corticosteroids like [hydrocortisone] and [prednisolone].[A188724]

Dexamethasone was granted FDA approval on 30 October 1958.[L10695] In a press release for the Randomized Evaluation of COVID-19 Therapy (RECOVERY) trial on 16 June 2020, dexamethasone was recommended for use in COVID-19 patients with severe respiratory symptoms. Dexamethasone reduced deaths by approximately one third in patients requiring ventilation and by one fifth in those requiring oxygen.[L14318]","Dexamethasone and [ciprofloxacin] otic suspension is indicated for bacterial infections with inflammation in acute otitis media and acute otitis externa.[L10698] Intramuscular and intravenous injections are indicated for a number of endocrine, rheumatic, collagen, dermatologic, allergic, ophthalmic, gastrointestinal, respiratory, hematologic, neoplastic, edematous, and other conditions.[L10701] Oral tablets are indicated for the treatment of multiple myeloma.[L10710] An intravitreal implant is indicated for some forms of macular edema and non-infectious posterior uveitis affecting the posterior of the eye.[L10719] Various ophthalmic formulations are indicated for inflammatory conditions of the eye.[L10704,L10707,L10713,L10716,L10722,L10725]",[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,[]
DB00741,A01AC03,hydrocortisone,"Hydrocortisone, or cortisol, is a glucocorticoid secreted by the adrenal cortex.[A188387] Hydrocortisone is used to treat immune, inflammatory, and neoplastic conditions.[L10529,L10532,L10535,L10538,L7772,L7321] It was discovered in the 1930s by Edward Kendall and named Compound F, or 17-hydroxycorticosterone.[A188420]

Hydrocortisone was granted FDA approval on 5 August 1952.[L10574]","Otic solutions are indicated for infections of the external auditory canal caused by susceptible organisms and with inflammation.[L10529,L10532] Hydrocortisone tablets are indicated for certain endocrine, rheumatic, collagen, allergic, ophthalmic, respiratory, hematologic, neoplastic, edematous, gastrointestinal, and other conditions.[L10535] A hydrocortisone enema is indicated for ulcerative colitis,[L10538] a topical ointment with antibiotics is indicated for corticosteroid responsive dermatoses with infections,[L7772] and a topical cream with [acyclovir] is indicated to treat cold sores.[L7321] Oral granules of hydrocortisone are used as a replacement therapy for Adrenocortical Insufficiency (AI) in children under 17 years of age.[L16533]",[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,[]
DB00860,A01AC54,"prednisolone, combinations","Prednisolone is a glucocorticoid similar to [cortisol] used for its anti-inflammatory, immunosuppressive, anti-neoplastic, and vasoconstrictive effects.[A187463]

Prednisolone was granted FDA approval on 21 June 1955.[L9431]","Prednisolone is indicated to treat endocrine, rheumatic, and hematologic disorders; collagen, dermatologic, ophthalmic, respiratory, and gastrointestinal diseases; allergic and edematous states; and other conditions like tuberculous meningitis.[L9542]",[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,[]
DB00668,A01AD01,epinephrine,"Epinephrine, also known as _adrenaline_, is a hormone and neurotransmitter and produced by the adrenal glands that can also be used as a drug due to its various important functions. Though it has long been used in the treatment of hypersensitivity reactions, epinephrine in the auto-injector form (EpiPen) has been available since 1987 in the USA. Many new products/biosimilars and dosage routes have been approved under various names over the last several decades [L4355], [L4356], [L4358].  On August 16, 2018, Teva Pharmaceuticals USA gained approval to market its generic epinephrine auto-injector in 0.3 mg and 0.15 mg strengths [L4353]. Dosage delivery routes for epinephrine include intravenous, inhalation, nebulization, intramuscular injection, and subcutaneous injection.

In general, the most common uses of parenteral epinephrine are to relieve respiratory distress due to bronchospasm, to provide rapid relief of hypersensitivity (anaphylactic or anaphylactoid) reactions to drugs, animal serums and other allergens, and to prolong the action of infiltration anesthetics [F2136]. In addition to the above functions, epinephrine is the primary drug administered during cardiopulmonary resuscitation (CPR) to reverse cardiac arrest [A37697], [A37699].  It can be used in severe cases of croup [L4824].","Epinephrine injection is indicated in the emergency treatment of allergic reactions (Type I) including anaphylaxis to stinging insects (e.g., order Hymenoptera, which include bees, wasps, hornets, yellow jackets and fire ants) and biting insects (e.g., triatoma, mosquitos), allergen immunotherapy, foods, drugs, diagnostic testing substances (e.g., radiocontrast media) and other allergens, as well as idiopathic anaphylaxis or exercise-induced anaphylaxis. Injectable epinephrine is intended for immediate/urgent administration in patients, who are found to be at increased risk for anaphylaxis, including individuals with a history of anaphylaxis. Selection of the appropriate dosage strength is determined according to body weight [FDA label]. 

Epinephrine's cardiac effects may be of use in restoring cardiac rhythm in cardiac arrest due to various causes but is not used in cardiac failure or in hemorrhagic, traumatic, or cardiogenic shock [F1247].

Epinephrine is used as a hemostatic agent. It is also used in treating mucosal congestion of hay fever, rhinitis, and acute sinusitis; to relieve bronchial asthmatic paroxysms; in syncope due to complete heart block or carotid sinus hypersensitivity; for symptomatic relief of serum sickness, urticaria, angioneurotic edema; for resuscitation in cardiac arrest following anesthetic accidents; in simple (open angle) glaucoma; for relaxation of uterine musculature and to inhibit uterine contractions. Epinephrine injection can be utilized to prolong the action of local anesthetics [F1247].

In addition to the above, epinephrine is used as an over the counter (OTC) agent for the intermittent symptoms of asthma, such as wheezing, tightness of chest and shortness of breath [F2131].  It is also used for the maintenance of mydriasis during intraocular surgery [L4825].",CNC[C@H](O)C1=CC(O)=C(O)C=C1,[]
DB09084,A01AD02,benzydamine,"Benzydamine (also known as Tantum Verde or Difflam), available as the hydrochloride salt, is a locally-acting nonsteroidal anti-inflammatory drug (NSAID) with local anaesthetic and analgesic properties. It is used topically for pain relief and anti-inflammatory treatment of the mouth, throat, or muscoskeletal system.

Although the indazole analogue benzydamine is a non-steroidal anti-inflammatory drug (NSAID), it has various physicochemical properties and pharmacologic activities that are different from those of traditional aspirin-like NSAIDs but facilitate benzydamine's mechanism of action as an effective locally-acting NSAID with local anaesthetic and analgesic properties. Moreover, unlike aspirin-like NSAIDs which are acids or metabolised to acids, benzydamine is in fact a weak base.","Available predominantly as a liquid mouthwash, oromucosal spray, or topical cream, benzydamine is most frequently employed as a locally acting analgesic and anti-inflammatory treatment for the relief of painful inflammatory conditions. 

When formulated as a mouthwash or spray, benzydamine may be used to treat traumatic conditions like pharyngitis following tonsillectomy or the use of a naso-gastric tube, inflammatory conditions like pharyngitis, aphthous ulcers and oral ulceration due to radiation therapy, dentistry operations and procedures, or more general conditions like sore throat, sore tongue, sore gums, mouth ulcers, or discomfort caused by dentures. [L1121] 

When used as a topical cream, benzydamine may be employed to relieve symptoms associated with painful inflammatory conditions of the muscolo-skeletal system including acute inflammatory disorders such as myalgia and bursitis or traumatic conditions like sprains, strains, bruises, sore muscles, stiff joints, or even the after-effects of fractures. [ L1123]",CN(C)CCCOC1=NN(CC2=CC=CC=C2)C2=CC=CC=C12,['[3*]Cn1nc(OCCCN(C)C)c2ccccc21^[3*]c1ccccc1']
